Station information:,,,,,,,
Name,Agent Number,Network Number,Latitude (dec.deg),Longitude (dec.deg),Height (m),Posn_Precision,Observing Authority
Ohoka Cws,29/07/2021,0.2,-,0.3,0,24,D
Rangiora Ews,29/07/2021,0,-,2.3,0,24,D
Waipara West Ews,29/07/2021,0,-,4.9,0,24,D
Wakanui 2 Cws,29/07/2021,0,-,1.3,0,24,D
Winchmore 2 Ews,29/07/2021,0,-,1.6,0,24,D
Akaroa Ews,30/07/2021,0,-,1.3,0,24,D
Ashburton Aero Aws,30/07/2021,0.2,-,1.8,0,24,D
Balmoral East Cws,30/07/2021,0,-,4.7,0,24,D
Bromley Ews,30/07/2021,0.2,-,12.8,0,24,D
Chertsey Cws,30/07/2021,0,-,2.4,0,24,D
Cheviot Ews,30/07/2021,0,-,38.5,0,24,D
Christchurch Aero,30/07/2021,0.2,-,1.1,0,24,D
"Christchurch, Kyle St Ews",30/07/2021,0,-,3.4,0,24,D
Culverden Aws,30/07/2021,0,-,5.7,0,24,D
Cass Ews,30/07/2021,0,-,-,-,24,D
Diamond Harbour Ews,30/07/2021,0,-,1.5,0,24,D
Hanmer Forest Ews,30/07/2021,0,-,0.9,0,24,D
Le Bons Bay Aws,30/07/2021,0,-,21.9,0,24,D
"Lincoln, Broadfield Ews",30/07/2021,0,-,1.4,0,24,D
"Lismore, Racemans House Cws",30/07/2021,0,-,2,0,24,D
Medbury Cws,30/07/2021,0,-,5.9,0,24,D
Methven Cws,30/07/2021,0.2,-,-,-,24,D
Ohoka Cws,30/07/2021,0.4,-,0.4,0,24,D
Rangiora Ews,30/07/2021,0,-,2.8,0,24,D
Waipara West Ews,30/07/2021,0,-,5.9,0,24,D
Wakanui 2 Cws,30/07/2021,0,-,2,0,24,D
Winchmore 2 Ews,30/07/2021,0,-,2.4,0,24,D
Akaroa Ews,31/07/2021,0,-,2,0,24,D
Ashburton Aero Aws,31/07/2021,0,-,2.5,0,24,D
Balmoral East Cws,31/07/2021,0,-,5.7,0,24,D
Bromley Ews,31/07/2021,0,-,13.4,0,24,D
Chertsey Cws,31/07/2021,0,-,3.3,0,24,D
Cheviot Ews,31/07/2021,0,-,39.1,0,24,D
Christchurch Aero,31/07/2021,0.2,-,1.6,0,24,D
"Christchurch, Kyle St Ews",31/07/2021,0,-,3.9,0,24,D
Culverden Aws,31/07/2021,0,-,6.7,0,24,D
Cass Ews,31/07/2021,0,-,-,-,24,D
Diamond Harbour Ews,31/07/2021,0,-,2.2,0,24,D
Hanmer Forest Ews,31/07/2021,0,-,1.3,0,24,D
Le Bons Bay Aws,31/07/2021,0,-,22.6,0,24,D
"Lincoln, Broadfield Ews",31/07/2021,0,-,2.2,0,24,D
"Lismore, Racemans House Cws",31/07/2021,0,-,2.7,0,24,D
Medbury Cws,31/07/2021,0,-,6.9,0,24,D
Methven Cws,31/07/2021,0,-,-,-,24,D
Ohoka Cws,31/07/2021,0.4,-,0.6,0,24,D
Rangiora Ews,31/07/2021,0,-,3.3,0,24,D
Waipara West Ews,31/07/2021,0,-,7,0,24,D
Wakanui 2 Cws,31/07/2021,0,-,2.7,0,24,D
