Station information:,,,,,,,
Name,Agent Number,Network Number,Latitude (dec.deg),Longitude (dec.deg),Height (m),Posn_Precision,Observing Authority
"Lismore, Racemans House Cws",11/11/2021,0,-,112.5,0,24,D
Medbury Cws,11/11/2021,0,-,120.4,0,24,D
Methven Cws,11/11/2021,0,-,98.7,0,24,D
Ohoka Cws,11/11/2021,0,-,83.9,0,24,D
Rangiora Ews,11/11/2021,0,-,103.7,0,24,D
Waiau School Cws,11/11/2021,0,-,-,-,24,D
Waipara West Ews,11/11/2021,0,-,122.2,0,24,D
Wakanui 2 Cws,11/11/2021,0,-,121.7,0,24,D
Winchmore 2 Ews,11/11/2021,0,-,115.9,0,24,D
Akaroa Ews,12/11/2021,0,-,94.7,0,24,D
Ashburton Aero Aws,12/11/2021,0,-,110.5,0,24,D
Balmoral East Cws,12/11/2021,0.4,-,124.5,0,24,D
Bromley Ews,12/11/2021,0,-,113.9,0,24,D
Chertsey Cws,12/11/2021,0,-,117.8,0,24,D
Cheviot Ews,12/11/2021,0,-,93.6,0,24,D
Christchurch Aero,12/11/2021,0,-,62.2,0,24,D
"Christchurch, Kyle St Ews",12/11/2021,0,-,112.8,0,24,D
Culverden Aws,12/11/2021,0,-,119.8,0,24,D
Cass Ews,12/11/2021,0,-,-,-,24,D
Christchurch Botanic Gardens Ews,12/11/2021,0,-,-,-,24,D
Diamond Harbour Ews,12/11/2021,0,-,90.5,0,24,D
Hanmer Forest Ews,12/11/2021,0,-,67.5,0,24,D
Le Bons Bay Aws,12/11/2021,0,-,121.5,0,24,D
"Lincoln, Broadfield Ews",12/11/2021,0,-,118.9,0,24,D
"Lismore, Racemans House Cws",12/11/2021,0,-,114.3,0,24,D
Medbury Cws,12/11/2021,0,-,122.1,0,24,D
Methven Cws,12/11/2021,0,-,101.4,0,24,D
Ohoka Cws,12/11/2021,0,-,87.1,0,24,D
Rangiora Ews,12/11/2021,0,-,105.9,0,24,D
Waiau School Cws,12/11/2021,0,-,-,-,24,D
Waipara West Ews,12/11/2021,0,-,123.8,0,24,D
Wakanui 2 Cws,12/11/2021,0,-,123,0,24,D
Winchmore 2 Ews,12/11/2021,0,-,117.7,0,24,D
Akaroa Ews,13/11/2021,0.8,-,96.8,0,24,D
Ashburton Aero Aws,13/11/2021,0.6,-,111.8,0,24,D
Balmoral East Cws,13/11/2021,0,-,125.9,0,24,D
Bromley Ews,13/11/2021,1.2,-,114.6,0,24,D
Chertsey Cws,13/11/2021,0.4,-,119.1,0,24,D
Cheviot Ews,13/11/2021,0,-,96.2,0,24,D
Christchurch Aero,13/11/2021,2,-,62.9,0,24,D
"Christchurch, Kyle St Ews",13/11/2021,2.2,-,112.6,0,24,D
Culverden Aws,13/11/2021,0,-,121.5,0,24,D
Cass Ews,13/11/2021,4,-,-,-,24,D
Christchurch Botanic Gardens Ews,13/11/2021,2,-,-,-,24,D
Diamond Harbour Ews,13/11/2021,1.2,-,92.4,0,24,D
Hanmer Forest Ews,13/11/2021,0,-,71,0,24,D
Le Bons Bay Aws,13/11/2021,0.4,-,122.6,0,24,D
"Lincoln, Broadfield Ews",13/11/2021,1.4,-,119.3,0,24,D
"Lismore, Racemans House Cws",13/11/2021,0,-,116,0,24,D
Medbury Cws,13/11/2021,0.4,-,123.2,0,24,D
Methven Cws,13/11/2021,0.6,-,103.4,0,24,D
Ohoka Cws,13/11/2021,1.2,-,89,0,24,D
Rangiora Ews,13/11/2021,1.4,-,106.7,0,24,D
Waiau School Cws,13/11/2021,0,-,-,-,24,D
Waipara West Ews,13/11/2021,1.8,-,123.5,0,24,D
Wakanui 2 Cws,13/11/2021,0,-,124.3,0,24,D
Winchmore 2 Ews,13/11/2021,0.2,-,119.2,0,24,D
Akaroa Ews,14/11/2021,2,-,97.6,0,24,D
Ashburton Aero Aws,14/11/2021,13.8,-,99.9,0,24,D
Balmoral East Cws,14/11/2021,4.8,-,122.5,0,24,D
Bromley Ews,14/11/2021,2.2,-,114.4,0,24,D
Chertsey Cws,14/11/2021,11,-,109.7,0,24,D
Cheviot Ews,14/11/2021,3.3,-,95.5,0,24,D
Christchurch Aero,14/11/2021,4.2,-,61.5,0,24,D
"Christchurch, Kyle St Ews",14/11/2021,3.8,-,110.8,0,24,D
Culverden Aws,14/11/2021,5,-,118.1,0,24,D
Cass Ews,14/11/2021,21,-,-,-,24,D
Christchurch Botanic Gardens Ews,14/11/2021,3.8,-,-,-,24,D
Diamond Harbour Ews,14/11/2021,3.2,-,92.3,0,24,D
Hanmer Forest Ews,14/11/2021,7.4,-,67,0,24,D
Le Bons Bay Aws,14/11/2021,5.6,-,118.4,0,24,D
"Lincoln, Broadfield Ews",14/11/2021,7,-,114,0,24,D
"Lismore, Racemans House Cws",14/11/2021,18.4,-,99.3,0,24,D
Medbury Cws,14/11/2021,7,-,117.8,0,24,D
Methven Cws,14/11/2021,16,-,89.8,0,24,D
Ohoka Cws,14/11/2021,4.2,-,87.7,0,24,D
Rangiora Ews,14/11/2021,4.6,-,104.2,0,24,D
Waiau School Cws,14/11/2021,4.6,-,-,-,24,D
Waipara West Ews,14/11/2021,7.6,-,117.4,0,24,D
Wakanui 2 Cws,14/11/2021,9.6,-,116,0,24,D
Winchmore 2 Ews,14/11/2021,12.4,-,108.4,0,24,D
Akaroa Ews,15/11/2021,1.2,-,99.1,0,24,D
Ashburton Aero Aws,15/11/2021,5.2,-,97.1,0,24,D
Balmoral East Cws,15/11/2021,2.6,-,121.4,0,24,D
Bromley Ews,15/11/2021,0.8,-,115.5,0,24,D
Chertsey Cws,15/11/2021,2.6,-,109.3,0,24,D
Cheviot Ews,15/11/2021,0,-,98.1,0,24,D
Christchurch Aero,15/11/2021,0.2,-,64,0,24,D
"Christchurch, Kyle St Ews",15/11/2021,0.4,-,112.5,0,24,D
Culverden Aws,15/11/2021,0.6,-,119.3,0,24,D
Cass Ews,15/11/2021,6,-,-,-,24,D
Christchurch Botanic Gardens Ews,15/11/2021,0.2,-,-,-,24,D
Diamond Harbour Ews,15/11/2021,0.2,-,95.1,0,24,D
Hanmer Forest Ews,15/11/2021,4,-,66.4,0,24,D
Le Bons Bay Aws,15/11/2021,0.4,-,119.7,0,24,D
"Lincoln, Broadfield Ews",15/11/2021,0.2,-,115.8,0,24,D
"Lismore, Racemans House Cws",15/11/2021,3.6,-,98.1,0,24,D
Medbury Cws,15/11/2021,6.6,-,113,0,24,D
Methven Cws,15/11/2021,4,-,89,0,24,D
Ohoka Cws,15/11/2021,0.6,-,90.2,0,24,D
Rangiora Ews,15/11/2021,0.8,-,105.6,0,24,D
Waiau School Cws,15/11/2021,0,-,-,-,24,D
Waipara West Ews,15/11/2021,0.8,-,118.4,0,24,D
Wakanui 2 Cws,15/11/2021,0,-,117.6,0,24,D
Winchmore 2 Ews,15/11/2021,2.8,-,107.8,0,24,D
Akaroa Ews,16/11/2021,0,-,101.8,0,24,D
Ashburton Aero Aws,16/11/2021,0,-,99.7,0,24,D
Balmoral East Cws,16/11/2021,2.4,-,120.6,0,24,D
Bromley Ews,16/11/2021,0,-,117.4,0,24,D
Chertsey Cws,16/11/2021,0,-,111.4,0,24,D
Cheviot Ews,16/11/2021,0,-,100.6,0,24,D
Christchurch Aero,16/11/2021,0.2,-,66.6,0,24,D
"Christchurch, Kyle St Ews",16/11/2021,0,-,114.5,0,24,D
Culverden Aws,16/11/2021,0,-,121.1,0,24,D
Cass Ews,16/11/2021,19.2,-,-,-,24,D
Christchurch Botanic Gardens Ews,16/11/2021,0,-,-,-,24,D
Diamond Harbour Ews,16/11/2021,0,-,98,0,24,D
Hanmer Forest Ews,16/11/2021,5.6,-,64.2,0,24,D
Le Bons Bay Aws,16/11/2021,0,-,121.3,0,24,D
"Lincoln, Broadfield Ews",16/11/2021,0,-,117.7,0,24,D
"Lismore, Racemans House Cws",16/11/2021,0,-,100.7,0,24,D
Medbury Cws,16/11/2021,0,-,115.1,0,24,D
Methven Cws,16/11/2021,0.6,-,91.6,0,24,D
Ohoka Cws,16/11/2021,0,-,93.1,0,24,D
Rangiora Ews,16/11/2021,0,-,107.8,0,24,D
Waiau School Cws,16/11/2021,0,-,-,-,24,D
Waipara West Ews,16/11/2021,0,-,120.2,0,24,D
Wakanui 2 Cws,16/11/2021,0.2,-,119,0,24,D
Winchmore 2 Ews,16/11/2021,0,-,110,0,24,D
Akaroa Ews,17/11/2021,0,-,104.3,0,24,D
Ashburton Aero Aws,17/11/2021,0,-,102.1,0,24,D
Balmoral East Cws,17/11/2021,0.4,-,121.9,0,24,D
Bromley Ews,17/11/2021,0,-,119.1,0,24,D
Chertsey Cws,17/11/2021,0,-,113.4,0,24,D
Cheviot Ews,17/11/2021,0,-,102.9,0,24,D
Christchurch Aero,17/11/2021,0,-,69.3,0,24,D
"Christchurch, Kyle St Ews",17/11/2021,0,-,116.4,0,24,D
Culverden Aws,17/11/2021,0,-,122.7,0,24,D
Cass Ews,17/11/2021,11.8,-,-,-,24,D
Christchurch Botanic Gardens Ews,17/11/2021,0,-,-,-,24,D
Diamond Harbour Ews,17/11/2021,0,-,100.8,0,24,D
Hanmer Forest Ews,17/11/2021,4.6,-,63,0,24,D
Le Bons Bay Aws,17/11/2021,0,-,122.8,0,24,D
"Lincoln, Broadfield Ews",17/11/2021,0,-,119.6,0,24,D
"Lismore, Racemans House Cws",17/11/2021,0,-,103.1,0,24,D
Medbury Cws,17/11/2021,1.4,-,115.6,0,24,D
Methven Cws,17/11/2021,0,-,94.6,0,24,D
Ohoka Cws,17/11/2021,0,-,95.8,0,24,D
Rangiora Ews,17/11/2021,0,-,109.8,0,24,D
Waiau School Cws,17/11/2021,0,-,-,-,24,D
Waipara West Ews,17/11/2021,0,-,121.9,0,24,D
Wakanui 2 Cws,17/11/2021,0,-,120.5,0,24,D
Winchmore 2 Ews,17/11/2021,0,-,112.1,0,24,D
Akaroa Ews,18/11/2021,0.6,-,106.1,0,24,D
Ashburton Aero Aws,18/11/2021,0,-,104.5,0,24,D
Balmoral East Cws,18/11/2021,0,-,123.5,0,24,D
Bromley Ews,18/11/2021,0,-,120.8,0,24,D
Chertsey Cws,18/11/2021,0,-,115.3,0,24,D
Cheviot Ews,18/11/2021,0,-,105.2,0,24,D
Christchurch Aero,18/11/2021,0,-,72,0,24,D
"Christchurch, Kyle St Ews",18/11/2021,0,-,118.2,0,24,D
Culverden Aws,18/11/2021,0,-,124.2,0,24,D
Cass Ews,18/11/2021,0,-,-,-,24,D
Christchurch Botanic Gardens Ews,18/11/2021,0,-,-,-,24,D
Diamond Harbour Ews,18/11/2021,0,-,103.4,0,24,D
Hanmer Forest Ews,18/11/2021,0,-,66.4,0,24,D
Le Bons Bay Aws,18/11/2021,0,-,124.2,0,24,D
"Lincoln, Broadfield Ews",18/11/2021,0,-,121.3,0,24,D
"Lismore, Racemans House Cws",18/11/2021,0,-,105.3,0,24,D
Medbury Cws,18/11/2021,0,-,117.6,0,24,D
Methven Cws,18/11/2021,0,-,97.5,0,24,D
Ohoka Cws,18/11/2021,0,-,98.5,0,24,D
Rangiora Ews,18/11/2021,0,-,111.8,0,24,D
Waiau School Cws,18/11/2021,0,-,-,-,24,D
Waipara West Ews,18/11/2021,0,-,123.5,0,24,D
Wakanui 2 Cws,18/11/2021,0.2,-,121.8,0,24,D
Winchmore 2 Ews,18/11/2021,0,-,114.1,0,24,D
Akaroa Ews,19/11/2021,0.4,-,108,0,24,D
Ashburton Aero Aws,19/11/2021,0,-,106.7,0,24,D
Balmoral East Cws,19/11/2021,4.6,-,120.4,0,24,D
Bromley Ews,19/11/2021,0,-,122.4,0,24,D
Chertsey Cws,19/11/2021,0,-,117.2,0,24,D
Cheviot Ews,19/11/2021,0,-,107.3,0,24,D
Christchurch Aero,19/11/2021,0,-,74.8,0,24,D
"Christchurch, Kyle St Ews",19/11/2021,0,-,119.9,0,24,D
Culverden Aws,19/11/2021,3,-,122.7,0,24,D
Cass Ews,19/11/2021,0,-,-,-,24,D
Christchurch Botanic Gardens Ews,19/11/2021,0,-,-,-,24,D
Diamond Harbour Ews,19/11/2021,0,-,105.8,0,24,D
Hanmer Forest Ews,19/11/2021,0,-,69.8,0,24,D
Le Bons Bay Aws,19/11/2021,0.2,-,125.3,0,24,D
"Lincoln, Broadfield Ews",19/11/2021,0,-,122.9,0,24,D
"Lismore, Racemans House Cws",19/11/2021,0,-,107.5,0,24,D
Medbury Cws,19/11/2021,6.2,-,113.2,0,24,D
Methven Cws,19/11/2021,0,-,100.3,0,24,D
Ohoka Cws,19/11/2021,0,-,101,0,24,D
Rangiora Ews,19/11/2021,0,-,113.6,0,24,D
Waiau School Cws,19/11/2021,0,-,-,-,24,D
Waipara West Ews,19/11/2021,0,-,125,0,24,D
Wakanui 2 Cws,19/11/2021,0,-,123.1,0,24,D
Winchmore 2 Ews,19/11/2021,0,-,116,0,24,D
Akaroa Ews,20/11/2021,0,-,110.2,0,24,D
Ashburton Aero Aws,20/11/2021,0,-,108.8,0,24,D
Balmoral East Cws,20/11/2021,5.4,-,116.6,0,24,D
Bromley Ews,20/11/2021,0,-,123.9,0,24,D
Chertsey Cws,20/11/2021,0,-,118.9,0,24,D
Cheviot Ews,20/11/2021,0.1,-,109.3,0,24,D
Christchurch Aero,20/11/2021,0,-,77.5,0,24,D
"Christchurch, Kyle St Ews",20/11/2021,0,-,121.5,0,24,D
Culverden Aws,20/11/2021,0,-,124.2,0,24,D
Cass Ews,20/11/2021,0,-,-,-,24,D
Christchurch Botanic Gardens Ews,20/11/2021,0,-,-,-,24,D
Diamond Harbour Ews,20/11/2021,0,-,108.2,0,24,D
Hanmer Forest Ews,20/11/2021,0,-,73.2,0,24,D
Le Bons Bay Aws,20/11/2021,0,-,126.6,0,24,D
"Lincoln, Broadfield Ews",20/11/2021,0,-,124.4,0,24,D
"Lismore, Racemans House Cws",20/11/2021,0,-,109.6,0,24,D
Medbury Cws,20/11/2021,0,-,115.3,0,24,D
Methven Cws,20/11/2021,0,-,102.9,0,24,D
Ohoka Cws,20/11/2021,0,-,103.4,0,24,D
Rangiora Ews,20/11/2021,0,-,115.4,0,24,D
Waiau School Cws,20/11/2021,0,-,-,-,24,D
Waipara West Ews,20/11/2021,0,-,126.4,0,24,D
Wakanui 2 Cws,20/11/2021,0,-,124.4,0,24,D
Winchmore 2 Ews,20/11/2021,0,-,117.8,0,24,D
Akaroa Ews,21/11/2021,0,-,112.3,0,24,D
Ashburton Aero Aws,21/11/2021,0,-,110.8,0,24,D
Balmoral East Cws,21/11/2021,0,-,118.5,0,24,D
Bromley Ews,21/11/2021,0,-,125.3,0,24,D
Chertsey Cws,21/11/2021,0,-,120.5,0,24,D
Cheviot Ews,21/11/2021,0,-,111.2,0,24,D
Christchurch Aero,21/11/2021,0,-,80.2,0,24,D
"Christchurch, Kyle St Ews",21/11/2021,0,-,123,0,24,D
Culverden Aws,21/11/2021,0,-,125.7,0,24,D
Cass Ews,21/11/2021,0,-,-,-,24,D
Christchurch Botanic Gardens Ews,21/11/2021,0,-,-,-,24,D
Diamond Harbour Ews,21/11/2021,0,-,110.4,0,24,D
Hanmer Forest Ews,21/11/2021,0,-,76.6,0,24,D
Le Bons Bay Aws,21/11/2021,0,-,127.9,0,24,D
"Lincoln, Broadfield Ews",21/11/2021,0,-,125.8,0,24,D
"Lismore, Racemans House Cws",21/11/2021,0,-,111.5,0,24,D
Medbury Cws,21/11/2021,0,-,117.2,0,24,D
Methven Cws,21/11/2021,14.4,-,91,0,24,D
Ohoka Cws,21/11/2021,0,-,105.6,0,24,D
Rangiora Ews,21/11/2021,0,-,117.1,0,24,D
Waiau School Cws,21/11/2021,0,-,-,-,24,D
Waipara West Ews,21/11/2021,0,-,127.7,0,24,D
Winchmore 2 Ews,21/11/2021,0,-,119.5,0,24,D
Akaroa Ews,22/11/2021,0.8,-,113.5,0,24,D
Ashburton Aero Aws,22/11/2021,1,-,111.7,0,24,D
Balmoral East Cws,22/11/2021,6.6,-,113.7,0,24,D
Bromley Ews,22/11/2021,0,-,126.6,0,24,D
Chertsey Cws,22/11/2021,0,-,122.1,0,24,D
Cheviot Ews,22/11/2021,0,-,113,0,24,D
Christchurch Aero,22/11/2021,0.2,-,82.5,0,24,D
"Christchurch, Kyle St Ews",22/11/2021,0.2,-,124.2,0,24,D
Culverden Aws,22/11/2021,0,-,127,0,24,D
Cass Ews,22/11/2021,9.2,-,-,-,24,D
Christchurch Botanic Gardens Ews,22/11/2021,0.2,-,-,-,24,D
Diamond Harbour Ews,22/11/2021,2,-,110.5,0,24,D
Hanmer Forest Ews,22/11/2021,1,-,78.9,0,24,D
Le Bons Bay Aws,22/11/2021,1.2,-,127.8,0,24,D
"Lincoln, Broadfield Ews",22/11/2021,0.6,-,126.6,0,24,D
"Lismore, Racemans House Cws",22/11/2021,0.6,-,112.8,0,24,D
Medbury Cws,22/11/2021,0,-,119.1,0,24,D
Methven Cws,22/11/2021,2.2,-,91.9,0,24,D
Ohoka Cws,22/11/2021,0,-,107.8,0,24,D
Rangiora Ews,22/11/2021,0,-,118.7,0,24,D
Waiau School Cws,22/11/2021,0,-,-,-,24,D
Waipara West Ews,22/11/2021,0,-,129,0,24,D
Winchmore 2 Ews,22/11/2021,0.2,-,120.9,0,24,D
Akaroa Ews,23/11/2021,1.6,-,113.8,0,24,D
Ashburton Aero Aws,23/11/2021,9.6,-,104,0,24,D
Balmoral East Cws,23/11/2021,0.2,-,115.5,0,24,D
Bromley Ews,23/11/2021,0,-,127.9,0,24,D
Chertsey Cws,23/11/2021,3.2,-,120.3,0,24,D
Cheviot Ews,23/11/2021,0.4,-,114.4,0,24,D
Christchurch Aero,23/11/2021,1,-,84,0,24,D
"Christchurch, Kyle St Ews",23/11/2021,0.6,-,125,0,24,D
Culverden Aws,23/11/2021,0,-,128.3,0,24,D
Cass Ews,23/11/2021,0.4,-,-,-,24,D
Christchurch Botanic Gardens Ews,23/11/2021,0.6,-,-,-,24,D
Diamond Harbour Ews,23/11/2021,3.2,-,109.4,0,24,D
Hanmer Forest Ews,23/11/2021,0.6,-,81.5,0,24,D
Le Bons Bay Aws,23/11/2021,2,-,127,0,24,D
"Lincoln, Broadfield Ews",23/11/2021,1.8,-,126.1,0,24,D
"Lismore, Racemans House Cws",23/11/2021,6,-,108.6,0,24,D
Medbury Cws,23/11/2021,0,-,120.8,0,24,D
Methven Cws,23/11/2021,5.4,-,89.5,0,24,D
Ohoka Cws,23/11/2021,0.2,-,109.6,0,24,D
Rangiora Ews,23/11/2021,1.4,-,118.8,0,24,D
Waiau School Cws,23/11/2021,0,-,-,-,24,D
Waipara West Ews,23/11/2021,0,-,130.1,0,24,D
Winchmore 2 Ews,23/11/2021,2.6,-,119.8,0,24,D
Akaroa Ews,24/11/2021,0.2,-,115.5,0,24,D
Ashburton Aero Aws,24/11/2021,0.6,-,105.6,0,24,D
Balmoral East Cws,24/11/2021,0,-,117.5,0,24,D
Bromley Ews,24/11/2021,0,-,129.1,0,24,D
Chertsey Cws,24/11/2021,0,-,121.9,0,24,D
Cheviot Ews,24/11/2021,0,-,116.1,0,24,D
Christchurch Aero,24/11/2021,1.2,-,85.2,0,24,D
"Christchurch, Kyle St Ews",24/11/2021,0.6,-,125.7,0,24,D
Culverden Aws,24/11/2021,0,-,129.6,0,24,D
Cass Ews,24/11/2021,0,-,-,-,24,D
Christchurch Botanic Gardens Ews,24/11/2021,0.6,-,-,-,24,D
Diamond Harbour Ews,24/11/2021,2.6,-,108.9,0,24,D
Hanmer Forest Ews,24/11/2021,0,-,84.7,0,24,D
Le Bons Bay Aws,24/11/2021,0,-,128.2,0,24,D
"Lincoln, Broadfield Ews",24/11/2021,0,-,127.5,0,24,D
"Lismore, Racemans House Cws",24/11/2021,0,-,110.6,0,24,D
Medbury Cws,24/11/2021,0,-,122.5,0,24,D
Methven Cws,24/11/2021,0,-,92.7,0,24,D
Ohoka Cws,24/11/2021,0.2,-,111.4,0,24,D
Rangiora Ews,24/11/2021,2.4,-,117.9,0,24,D
Waiau School Cws,24/11/2021,0,-,-,-,24,D
Waipara West Ews,24/11/2021,0,-,131.3,0,24,D
Winchmore 2 Ews,24/11/2021,0.2,-,121.2,0,24,D
Akaroa Ews,25/11/2021,0,-,117.3,0,24,D
Ashburton Aero Aws,25/11/2021,0,-,107.8,0,24,D
Balmoral East Cws,25/11/2021,5.6,-,113.7,0,24,D
Bromley Ews,25/11/2021,0.2,-,130,0,24,D
Chertsey Cws,25/11/2021,0,-,123.4,0,24,D
Cheviot Ews,25/11/2021,0,-,117.7,0,24,D
Christchurch Aero,25/11/2021,0,-,87.6,0,24,D
"Christchurch, Kyle St Ews",25/11/2021,0,-,127,0,24,D
Culverden Aws,25/11/2021,0,-,130.7,0,24,D
Cass Ews,25/11/2021,0,-,-,-,24,D
Christchurch Botanic Gardens Ews,25/11/2021,0,-,-,-,24,D
Diamond Harbour Ews,25/11/2021,0,-,111.1,0,24,D
Hanmer Forest Ews,25/11/2021,0,-,87.6,0,24,D
Le Bons Bay Aws,25/11/2021,0,-,129.3,0,24,D
"Lincoln, Broadfield Ews",25/11/2021,0,-,128.7,0,24,D
"Lismore, Racemans House Cws",25/11/2021,0,-,112.5,0,24,D
Medbury Cws,25/11/2021,0,-,124,0,24,D
Methven Cws,25/11/2021,0,-,95.7,0,24,D
Ohoka Cws,25/11/2021,0,-,113.3,0,24,D
Rangiora Ews,25/11/2021,0,-,119.5,0,24,D
Waiau School Cws,25/11/2021,0,-,127.1,0,24,D
Waipara West Ews,25/11/2021,0,-,132.3,0,24,D
Winchmore 2 Ews,25/11/2021,0,-,122.7,0,24,D
Akaroa Ews,26/11/2021,0,-,119,0,24,D
Ashburton Aero Aws,26/11/2021,0,-,109.8,0,24,D
Balmoral East Cws,26/11/2021,0,-,115.8,0,24,D
Bromley Ews,26/11/2021,0,-,131.1,0,24,D
Chertsey Cws,26/11/2021,0,-,124.8,0,24,D
Cheviot Ews,26/11/2021,0,-,119.3,0,24,D
Christchurch Aero,26/11/2021,0,-,89.8,0,24,D
"Christchurch, Kyle St Ews",26/11/2021,0,-,128.2,0,24,D
Culverden Aws,26/11/2021,0,-,131.8,0,24,D
Cass Ews,26/11/2021,0,-,-,-,24,D
Christchurch Botanic Gardens Ews,26/11/2021,0,-,-,-,24,D
Diamond Harbour Ews,26/11/2021,0,-,113.1,0,24,D
Hanmer Forest Ews,26/11/2021,0,-,90.5,0,24,D
Le Bons Bay Aws,26/11/2021,0,-,130.4,0,24,D
"Lincoln, Broadfield Ews",26/11/2021,0,-,129.9,0,24,D
"Lismore, Racemans House Cws",26/11/2021,0,-,114.4,0,24,D
Medbury Cws,26/11/2021,0,-,125.5,0,24,D
Methven Cws,26/11/2021,0,-,98.6,0,24,D
Ohoka Cws,26/11/2021,0,-,115.1,0,24,D
Rangiora Ews,26/11/2021,0,-,121,0,24,D
Waiau School Cws,26/11/2021,0,-,128.2,0,24,D
Waipara West Ews,26/11/2021,0,-,133.3,0,24,D
Winchmore 2 Ews,26/11/2021,0,-,124.1,0,24,D
Akaroa Ews,27/11/2021,0,-,120.6,0,24,D
Ashburton Aero Aws,27/11/2021,2.2,-,109.6,0,24,D
Balmoral East Cws,27/11/2021,0,-,117.7,0,24,D
Bromley Ews,27/11/2021,0,-,132.2,0,24,D
Chertsey Cws,27/11/2021,1.2,-,124.9,0,24,D
Cheviot Ews,27/11/2021,0,-,120.7,0,24,D
Christchurch Aero,27/11/2021,0,-,92,0,24,D
"Christchurch, Kyle St Ews",27/11/2021,0,-,129.4,0,24,D
Culverden Aws,27/11/2021,0,-,132.8,0,24,D
Cass Ews,27/11/2021,3.2,-,-,-,24,D
Christchurch Botanic Gardens Ews,27/11/2021,0,-,-,-,24,D
Diamond Harbour Ews,27/11/2021,0,-,115.1,0,24,D
Hanmer Forest Ews,27/11/2021,0,-,93.2,0,24,D
Le Bons Bay Aws,27/11/2021,2,-,129.4,0,24,D
"Lincoln, Broadfield Ews",27/11/2021,0,-,131,0,24,D
"Lismore, Racemans House Cws",27/11/2021,3.8,-,112.3,0,24,D
Medbury Cws,27/11/2021,0,-,126.9,0,24,D
Methven Cws,27/11/2021,3,-,98.3,0,24,D
Ohoka Cws,27/11/2021,0,-,116.7,0,24,D
Rangiora Ews,27/11/2021,0,-,122.4,0,24,D
Waiau School Cws,27/11/2021,0,-,129.3,0,24,D
Waipara West Ews,27/11/2021,0,-,134.3,0,24,D
Winchmore 2 Ews,27/11/2021,1.8,-,123.7,0,24,D
Akaroa Ews,28/11/2021,16.4,-,105.8,0,24,D
Ashburton Aero Aws,28/11/2021,32.8,-,78.7,0,24,D
Balmoral East Cws,28/11/2021,21.8,-,97.7,0,24,D
Bromley Ews,28/11/2021,0,-,133.1,0,24,D
Chertsey Cws,28/11/2021,24.6,-,101.6,0,24,D
Cheviot Ews,28/11/2021,20.5,-,101.6,0,24,D
Christchurch Aero,28/11/2021,15.2,-,79,0,24,D
"Christchurch, Kyle St Ews",28/11/2021,12.2,-,118.3,0,24,D
Culverden Aws,28/11/2021,19.4,-,114.4,0,24,D
Cass Ews,28/11/2021,62.8,-,-,-,24,D
Christchurch Botanic Gardens Ews,28/11/2021,12.4,-,-,-,24,D
Diamond Harbour Ews,28/11/2021,13.8,-,103.1,0,24,D
Hanmer Forest Ews,28/11/2021,31.2,-,64.5,0,24,D
Le Bons Bay Aws,28/11/2021,23,-,107.5,0,24,D
"Lincoln, Broadfield Ews",28/11/2021,17,-,115.1,0,24,D
"Lismore, Racemans House Cws",28/11/2021,31.2,-,82.9,0,24,D
Medbury Cws,28/11/2021,35.2,-,93,0,24,D
Methven Cws,28/11/2021,35.4,-,65.6,0,24,D
Ohoka Cws,28/11/2021,24.2,-,94.2,0,24,D
Rangiora Ews,28/11/2021,26.8,-,96.9,0,24,D
Waiau School Cws,28/11/2021,17.4,-,112.9,0,24,D
Waipara West Ews,28/11/2021,29.8,-,105.3,0,24,D
Winchmore 2 Ews,28/11/2021,28.2,-,96.9,0,24,D
Akaroa Ews,29/11/2021,0,-,108.1,0,24,D
Ashburton Aero Aws,29/11/2021,0.2,-,82,0,24,D
Balmoral East Cws,29/11/2021,1.6,-,99.1,0,24,D
Bromley Ews,29/11/2021,0,-,134,0,24,D
Chertsey Cws,29/11/2021,0.8,-,103.3,0,24,D
Cheviot Ews,29/11/2021,1.6,-,102.3,0,24,D
Christchurch Aero,29/11/2021,0.4,-,81.2,0,24,D
"Christchurch, Kyle St Ews",29/11/2021,0.2,-,119.8,0,24,D
Culverden Aws,29/11/2021,4.2,-,112.2,0,24,D
Cass Ews,29/11/2021,0.2,-,-,-,24,D
Christchurch Botanic Gardens Ews,29/11/2021,0.2,-,-,-,24,D
Diamond Harbour Ews,29/11/2021,0.6,-,105,0,24,D
Hanmer Forest Ews,29/11/2021,2.6,-,65.3,0,24,D
Le Bons Bay Aws,29/11/2021,0.8,-,108.9,0,24,D
"Lincoln, Broadfield Ews",29/11/2021,0,-,117.1,0,24,D
"Lismore, Racemans House Cws",29/11/2021,0,-,86.2,0,24,D
Medbury Cws,29/11/2021,1.8,-,94.4,0,24,D
Methven Cws,29/11/2021,0,-,69.5,0,24,D
Ohoka Cws,29/11/2021,2.4,-,94.5,0,24,D
Rangiora Ews,29/11/2021,0.6,-,98.9,0,24,D
Waiau School Cws,29/11/2021,4.6,-,110,0,24,D
Waipara West Ews,29/11/2021,1,-,106.9,0,24,D
Winchmore 2 Ews,29/11/2021,0.4,-,99.3,0,24,D
Akaroa Ews,30/11/2021,0,-,110.3,0,24,D
Ashburton Aero Aws,30/11/2021,0,-,85.3,0,24,D
Balmoral East Cws,30/11/2021,0,-,101.9,0,24,D
Bromley Ews,30/11/2021,0,-,134.9,0,24,D
Chertsey Cws,30/11/2021,0,-,105.8,0,24,D
