Station information:,,,,,,,
Name,Agent Number,Network Number,Latitude (dec.deg),Longitude (dec.deg),Height (m),Posn_Precision,Observing Authority
Martinborough Ews,29/07/2021,0,-,0.7,0,24,D
Masterton Aero Aws,29/07/2021,0.2,-,0.4,0,24,D
Masterton Ews,29/07/2021,0,-,0.7,0,24,D
"Masterton, Te Ore Ore Cws",29/07/2021,0,-,0.7,0,24,D
"Masterton, Te Ore Ore Srig",29/07/2021,0.2,-,0.5,0,24,D
Maungaraki 3,29/07/2021,0,-,0.6,0,24,D
Ngawi Aws,29/07/2021,0,-,1,0,24,D
Paraparaumu Aero,29/07/2021,0,0,0.7,0,24,D
Paraparaumu Aero Aws,29/07/2021,0,-,0.7,0,24,D
Paraparaumu Ews,29/07/2021,0,-,0.7,0,24,D
"Porirua, Elsdon Park Aws",29/07/2021,0,-,0.5,0,24,D
Stephens Island Aws,29/07/2021,0.2,-,-,-,24,D
"Upper Hutt, Trentham Ews",29/07/2021,0,-,0.6,0,24,D
Wellington Aero,29/07/2021,0,-,0.8,0,24,D
"Wellington, Greta Point Cws",29/07/2021,0,-,0.8,0,24,D
"Wellington, Kelburn 2",29/07/2021,0,-,0.8,0,24,D
"Wellington, Kelburn Aws",29/07/2021,0.2,-,0.6,0,24,D
Baring Head,30/07/2021,0,-,1.4,0,24,D
Blenheim Aero Aws,30/07/2021,0,-,2.1,0,24,D
Blenheim Research Ews,30/07/2021,0.4,-,1.9,0,24,D
Brothers Island Aws,30/07/2021,0,-,1.1,0,24,D
Cape Campbell Aws,30/07/2021,0,-,2.1,0,24,D
Levin Aws,30/07/2021,0.2,-,0.4,0,24,D
Levin Ews,30/07/2021,0.2,-,0.3,0,24,D
Mana Island Aws,30/07/2021,0,-,1.1,0,24,D
Martinborough Ews,30/07/2021,0,-,1.5,0,24,D
Masterton Aero Aws,30/07/2021,0.2,-,0.9,0,24,D
Masterton Ews,30/07/2021,0,-,1.3,0,24,D
"Masterton, Te Ore Ore Cws",30/07/2021,0.2,-,1.1,0,24,D
"Masterton, Te Ore Ore Srig",30/07/2021,0,-,1.1,0,24,D
Maungaraki 3,30/07/2021,0.2,-,1,0,24,D
Ngawi Aws,30/07/2021,0,-,1.7,0,24,D
Paraparaumu Aero,30/07/2021,0.8,0,0.6,0,24,D
Paraparaumu Aero Aws,30/07/2021,0.8,-,0.6,0,24,D
Paraparaumu Ews,30/07/2021,0.6,-,0.8,0,24,D
"Porirua, Elsdon Park Aws",30/07/2021,0,-,1.1,0,24,D
Stephens Island Aws,30/07/2021,0,-,-,-,24,D
"Upper Hutt, Trentham Ews",30/07/2021,0,-,1.2,0,24,D
Wellington Aero,30/07/2021,0,-,1.6,0,24,D
"Wellington, Greta Point Cws",30/07/2021,0,-,1.6,0,24,D
"Wellington, Kelburn 2",30/07/2021,0,-,1.6,0,24,D
"Wellington, Kelburn Aws",30/07/2021,0,-,1.4,0,24,D
Baring Head,31/07/2021,0,-,2.3,0,24,D
Blenheim Aero Aws,31/07/2021,0,-,2.9,0,24,D
Blenheim Research Ews,31/07/2021,0,-,2.7,0,24,D
Brothers Island Aws,31/07/2021,0.2,-,1.4,0,24,D
Cape Campbell Aws,31/07/2021,0,-,2.9,0,24,D
Levin Aws,31/07/2021,0,-,0.9,0,24,D
Levin Ews,31/07/2021,0,-,0.9,0,24,D
Mana Island Aws,31/07/2021,0.2,-,1.4,0,24,D
Martinborough Ews,31/07/2021,0,-,2.2,0,24,D
Masterton Aero Aws,31/07/2021,0,-,1.5,0,24,D
Masterton Ews,31/07/2021,0,-,2,0,24,D
"Masterton, Te Ore Ore Cws",31/07/2021,0,-,1.8,0,24,D
"Masterton, Te Ore Ore Srig",31/07/2021,0,-,1.8,0,24,D
Maungaraki 3,31/07/2021,0,-,1.6,0,24,D
Ngawi Aws,31/07/2021,0,-,2.5,0,24,D
Paraparaumu Aero,31/07/2021,0,0,1.3,0,24,D
Paraparaumu Aero Aws,31/07/2021,0.2,-,1.1,0,24,D
Paraparaumu Ews,31/07/2021,0,-,1.5,0,24,D
"Porirua, Elsdon Park Aws",31/07/2021,0.2,-,1.4,0,24,D
