SampleLocation,sars_gcl,Date,Result,copies_per_day_per_person,avg_rain,avg_rain.lag1,avg_rain.lag2,avg_rain.lag3,avg_rain.lag4,avg_rain.lag5,avg_rain.lag6,avg_rain.lag7,population,sars_per_person,SAMPLELOCATION,daily_flow_rate_m3
AU_Eastern,18808.89,2022-06-01,Detected,5198666,10.066666666666666,12.6,15.600000000000001,0.8,0,0.06666666666666667,2.0666666666666664,0.06666666666666667,18391,1.022722527323147,AU_Eastern,3175.225421
AU_Eastern,34304.74,2022-06-06,Detected,9481628,23.6,0.06666666666666667,3.066666666666667,15.6,0,10.066666666666666,12.6,15.600000000000001,18391,1.8653004186830513,AU_Eastern,3069.619095
AU_Eastern,15339.26,2022-06-08,Detected,4239681,4,2.2,23.6,0.06666666666666667,3.066666666666667,15.6,0,10.066666666666666,18391,0.8340634005763689,AU_Eastern,3157.241723
AU_Eastern,16421.66,2022-06-13,Detected,4538850,14.333333333333332,21.6,11.466666666666667,3.6,1.2666666666666666,4,2.2,23.6,18391,0.8929182752433256,AU_Eastern,4802.839876
AU_Eastern,13461.66,2022-06-15,Detected,3720723,2.7333333333333334,8.4,14.333333333333332,21.6,11.466666666666667,3.6,1.2666666666666666,4,18391,0.731969985318906,AU_Eastern,3683.847216
AU_Eastern,26573.18,2022-06-20,Detected,7344670,0,7.266666666666667,0.06666666666666667,1.0666666666666667,2.4,2.7333333333333334,8.4,14.333333333333332,18391,1.4449013104235768,AU_Eastern,2927.202235
AU_Eastern,24758.76,2022-06-22,Detected,6843175,0,0,0,7.266666666666667,0.06666666666666667,1.0666666666666667,2.4,2.7333333333333334,18391,1.346243271165244,AU_Eastern,2409.223058
AU_Eastern,38831.38,2022-06-29,Detected,10732765,1.4666666666666668,0,0.26666666666666666,0.6,14.4,0.13333333333333333,0,0,18391,2.1114338535153063,AU_Eastern,2276.080482
AU_Eastern,36933.48,2022-07-04,Detected,10208196,0.4666666666666667,0.7333333333333333,0.13333333333333333,0.4666666666666667,8.666666666666666,1.4666666666666668,0,0.26666666666666666,18391,2.008236637485727,AU_Eastern,2129.561166
AU_Eastern,75293.55,2022-07-11,Detected,20810694,0,0,22.866666666666667,26.933333333333334,0,32.733333333333334,0.06666666666666667,0.4666666666666667,18391,4.094043282040128,AU_Eastern,2972.002027
AU_Eastern,30968.62,2022-07-13,Detected,8559544,8.533333333333333,55.93333333333334,0,0,22.866666666666667,26.933333333333334,0,32.733333333333334,18391,1.6839008210537763,AU_Eastern,6189.574939
AU_Eastern,118994,2022-07-25,Detected,32889241,12.133333333333333,0,0,2.7333333333333334,10.4,11.333333333333332,2.466666666666667,0.06666666666666667,18391,6.4702300038062095,AU_Eastern,3160.541667
AU_Eastern,17255.41,2022-07-27,Detected,4769293,10.666666666666666,24.733333333333334,12.133333333333333,0,0,2.7333333333333334,10.4,11.333333333333332,18391,0.9382529498124083,AU_Eastern,5289.455834
AU_Eastern,20973.61,2022-08-01,Detected,5796982,2.6,5.866666666666667,0.2,3.6,3.1333333333333333,10.666666666666666,24.733333333333334,12.133333333333333,18391,1.1404279267032789,AU_Eastern,3118.134311
AU_Eastern,23381.15,2022-08-03,Detected,6462412,0,0.06666666666666667,2.6,5.866666666666667,0.2,3.6,3.1333333333333333,10.666666666666666,18391,1.27133652329944,AU_Eastern,2514.744589
AU_Eastern,46828.34,2022-08-08,Detected,12943077,27.266666666666666,1.6666666666666667,0.26666666666666666,0.13333333333333333,0.13333333333333333,0,0.06666666666666667,2.6,18391,2.546263933445707,AU_Eastern,4192.258572
AU_Eastern,19397.44,2022-08-10,Detected,5361338,0.4,13.4,27.266666666666666,1.6666666666666667,0.26666666666666666,0.13333333333333333,0.13333333333333333,0,18391,1.0547245935511935,AU_Eastern,3907.91162
AU_Eastern,21912.25,2022-08-17,Detected,6056417,2.066666666666667,0.26666666666666666,0,0.8666666666666667,1.8666666666666667,0.06666666666666667,2.466666666666667,0.4,18391,1.1914659344244467,AU_Eastern,2197.260334
AU_Eastern,18628.08,2022-08-22,Detected,5148691,1.4,0.13333333333333333,4.2,29.6,20.066666666666666,2.066666666666667,0.26666666666666666,0,18391,1.0128910880321897,AU_Eastern,2947.2504
AU_Eastern,15411.94,2022-08-24,Detected,4259769,0.6666666666666666,9.733333333333333,1.4,0.13333333333333333,4.2,29.6,20.066666666666666,2.066666666666667,18391,0.8380153335870807,AU_Eastern,3028.556287
AU_Eastern,15102,2022-09-05,Detected,4174103,2.2666666666666666,3.4,0,0,0,0,0,0.06666666666666667,18391,0.8211625251481703,AU_Eastern,NA
AU_Eastern,5083.52,2022-09-07,Detected,1405055,0,47.93333333333334,2.2666666666666666,3.4,0,0,0,0,18391,0.2764134631069545,AU_Eastern,NA
AU_Eastern,12332,2022-09-12,Detected,3408492,13.466666666666667,0.06666666666666667,0,0.06666666666666667,0,0,47.93333333333334,2.2666666666666666,18391,0.6705453754553858,AU_Eastern,NA
AU_Eastern,11594.18,2022-09-14,Detected,3204563,1.2666666666666666,2.066666666666667,13.466666666666667,0.06666666666666667,0,0.06666666666666667,0,0,18391,0.6304268392148333,AU_Eastern,NA
AU_Eastern,17198.23,2022-09-19,Detected,4753489,0.06666666666666667,0,0,0,0.5333333333333333,1.2666666666666666,2.066666666666667,13.466666666666667,18391,0.9351438203469088,AU_Eastern,NA
AU_Eastern,6846.31,2022-09-21,Detected,1892279,4.333333333333333,3,0.06666666666666667,0,0,0,0.5333333333333333,1.2666666666666666,18391,0.37226415094339627,AU_Eastern,NA
