Sample Location,Median Flow (m3),Estimated Loss in Concentration,p-value
CA_Christchurch,145670.91905,-0.75927548339875806,6.11458347309158e-4
AU_Rosedale,54386.5,-0.793893916909119,0.00178424368520245
WG_MoaPoint,66666.72481,0.407428624020612,0.0475880650062927
WG_Porirua,23933.778065,0.1588825090826,0.165014362381991
AU_Eastern,2220.906438,-0.33561448927118,0.209634019554105
WG_Seaview,55110.33657,-0.183822286175073,0.265382491585537
AU_SouthWestern,361.9999588,-0.308533025112812,0.307676991379255
WG_Karori,3674,-0.165664615710604,0.431907826425254
