Sample Location,Median Flow (m3),Estimated Loss in Concentration,p-value
WG_MoaPoint,66666.72481,-1.65624189130799,0.010885987385936
CA_Christchurch,145670.91905,0.768084794108931,0.0518602001038905
AU_Rosedale,54386.5,0.50292558928994,0.0746270097837556
WG_Karori,3674,0.326594599453569,0.16511375045322
WG_Porirua,23933.778065,-0.214731641784541,0.252875726190069
AU_SouthWestern,361.9999588,-0.373768292301491,0.509976963207596
WG_Seaview,55110.33657,-0.0894831492421433,0.73610819951674
AU_Eastern,2220.906438,0.126133332581348,0.867705263723038
