Name,Agent Number,Network Number,Latitude (dec.deg),Longitude (dec.deg),Height (m),Posn_Precision,Observing Authority
Dunedin (Musselburgh Ews),15752,I50954,-45.90129,170.5147,4,H,Niwa
Middlemarch Ews,18437,I50513,-45.51814,170.13561,213,H,Niwa
Ranfurly Ews,18593,I50115,-45.12427,170.10045,450,H,Niwa
Windsor Ews,18594,I50087,-45.00829,170.82281,81,H,Niwa
Green Island (Kaikorai Estuary),22692,I5094A,-45.915,170.407,27,T,N/A
Oamaru Aws,25937,I50194,-45.10148,170.95052,40,H,N/A
Balclutha (Telford Ews),26163,I69276,-46.29282,169.7315,11,H,Niwa
Reefton Ews,3925,F21182,-42.116,171.86,198,G,Niwa / West Coast Rural Fire Dis
Oamaru Ews,40986,I51003,-45.057,171.023,20,G,Niwa
Balclutha (Finegand Ews),45319,I69277,-46.273,169.739,6,H,Niwa
Melford Hills,5033,H40771,-44.759,170.773,441,G,N/A
Oamaru Airport Aws,5142,I41902,-44.97212,171.08108,30,H,Metservice
Islay Downs,5302,I50241,-45.249,170.459,360,G,N/A
Palmerston,5323,I50471,-45.47554,170.71444,21,H,N/A
Lee Flat,5335,I50701,-45.783,170.027,354,G,N/A
Long Beach,5354,I50765,-45.755,170.638,10,T,N/A
Mosgiel Town,5361,I50832,-45.873,170.33,8,G,N/A
Maungatua,5396,I50912,-45.91,170.149,25,G,N/A
Lauder Ews,5535,I59065,-45.0401,169.68419,375,H,Niwa
Glenledi Rd,5703,I60102,-46.175,170.083,61,G,N/A
Balclutha,5866,I69272,-46.238,169.749,12,G,N/A
Inchclutha (T'Graph Rd),5886,I69382,-46.302,169.824,8,G,N/A
Nugget Point Aws,5893,I69482,-46.44767,169.81215,131,H,Metservice
Dunedin Aero Aws,7339,I50922,-45.92675,170.19684,2,H,Metservice
"Note: Position precision types are: ""W"" = based on whole minutes"," ""T"" = estimated to tenth minute",,,,,,
G = derived from gridref ," ""E"" = error cases derived from gridref",,,,,,
18593,20210714:0900,0,-,60.9,0,24,D
18594,20210714:0900,0,-,46.1,0,24,D
22692,20210714:0900,0,-,2,0,24,D
25937,20210714:0900,0,-,4,0,24,D
26163,20210714:0900,0,-,0.8,0,24,D
3925,20210714:0900,0,-,0.9,0,24,D
40986,20210714:0900,0,-,52.1,0,24,D
5033,20210714:0900,0,-,-,-,24,D
5142,20210714:0900,0,-,32.9,0,24,D
5302,20210714:0900,0,-,2.6,0,24,D
5323,20210714:0900,0,-,1.7,0,24,D
5335,20210714:0900,0,-,1.2,0,24,D
5354,20210714:0900,0,-,2,0,24,D
5361,20210714:0900,0,-,1.7,0,24,D
5396,20210714:0900,0,-,1.6,0,24,D
5535,20210714:0900,0,-,53.9,0,24,D
5703,20210714:0900,0,-,1.5,0,24,D
5866,20210714:0900,0,-,0.5,0,24,D
5886,20210714:0900,0,-,1,0,24,D
5893,20210714:0900,0,-,0.8,0,24,D
7339,20210714:0900,0,-,1.6,0,24,D
15752,20210715:0900,1.2,-,26.6,0,24,D
18437,20210715:0900,0,-,44.7,0,24,D
18593,20210715:0900,0,-,61.3,0,24,D
18594,20210715:0900,0,-,46.7,0,24,D
22692,20210715:0900,1,-,1.6,0,24,D
25937,20210715:0900,0,-,4.6,0,24,D
26163,20210715:0900,2.6,-,0,1.5,24,D
3925,20210715:0900,6,-,0,4.8,24,D
40986,20210715:0900,0,-,52.6,0,24,D
5033,20210715:0900,0,-,-,-,24,D
5142,20210715:0900,0,-,33.4,0,24,D
5302,20210715:0900,0,-,3,0,24,D
5323,20210715:0900,0,-,1.9,0,24,D
5335,20210715:0900,4.3,-,0,2.7,24,D
5354,20210715:0900,0,-,2.6,0,24,D
5361,20210715:0900,2.3,-,0,0.1,24,D
5396,20210715:0900,2.8,-,0,0.7,24,D
5535,20210715:0900,0,-,54.4,0,24,D
5703,20210715:0900,5.3,-,0,3.3,24,D
5866,20210715:0900,5,-,0,4.2,24,D
5886,20210715:0900,4,-,0,2.7,24,D
5893,20210715:0900,4.4,-,0,3.3,24,D
7339,20210715:0900,2.4,-,0,0.3,24,D
15752,20210716:0900,11.8,-,15.4,0,24,D
18437,20210716:0900,9.6,-,35.5,0,24,D
18593,20210716:0900,5.4,-,56.3,0,24,D
18594,20210716:0900,10.2,-,37.1,0,24,D
22692,20210716:0900,11.2,-,0,9,24,D
25937,20210716:0900,15.8,-,0,10.7,24,D
26163,20210716:0900,3.4,-,0,3.1,24,D
3925,20210716:0900,55,-,0,54.7,24,D
40986,20210716:0900,13.4,-,39.8,0,24,D
5033,20210716:0900,2.6,-,-,-,24,D
5142,20210716:0900,12,-,22,0,24,D
5302,20210716:0900,0,-,3.4,0,24,D
5323,20210716:0900,12.8,-,0,10.6,24,D
5335,20210716:0900,8.4,-,0,8,24,D
5354,20210716:0900,23.8,-,0,20.6,24,D
5361,20210716:0900,8.4,-,0,7.9,24,D
5396,20210716:0900,10.5,-,0,10,24,D
5535,20210716:0900,3.4,-,51.4,0,24,D
5703,20210716:0900,7.9,-,0,7.4,24,D
5866,20210716:0900,5.9,-,0,5.6,24,D
5886,20210716:0900,4.3,-,0,4,24,D
5893,20210716:0900,4.8,-,0,4.5,24,D
7339,20210716:0900,10.4,-,0,9.9,24,D
15752,20210717:0900,0.6,-,15.5,0,24,D
18437,20210717:0900,3.8,-,32.1,0,24,D
18593,20210717:0900,3.2,-,53.4,0,24,D
18594,20210717:0900,4.8,-,33,0,24,D
22692,20210717:0900,2,-,0,1.4,24,D
25937,20210717:0900,5.4,-,0,4.8,24,D
26163,20210717:0900,2,-,0,1.7,24,D
3925,20210717:0900,95.4,-,0,95.1,24,D
40986,20210717:0900,4.6,-,35.8,0,24,D
5033,20210717:0900,5.1,-,-,-,24,D
5142,20210717:0900,4.6,-,18,0,24,D
5302,20210717:0900,0,-,3.7,0,24,D
5323,20210717:0900,1.6,-,0,1.3,24,D
5335,20210717:0900,3.1,-,0,2.7,24,D
5354,20210717:0900,1.5,-,0,0.9,24,D
5361,20210717:0900,2.2,-,0,1.7,24,D
5396,20210717:0900,3.3,-,0,2.8,24,D
5535,20210717:0900,7.6,-,44.3,0,24,D
5703,20210717:0900,0,-,0.5,0,24,D
5866,20210717:0900,5.8,-,0,5.5,24,D
5886,20210717:0900,2.4,-,0,2.1,24,D
5893,20210717:0900,1.6,-,0,1.3,24,D
7339,20210717:0900,2.4,-,0,1.9,24,D
15752,20210718:0900,3,-,13.1,0,24,D
18437,20210718:0900,0.2,-,32.3,0,24,D
18593,20210718:0900,0.8,-,53,0,24,D
18594,20210718:0900,0,-,33.6,0,24,D
22692,20210718:0900,8,-,0,7.4,24,D
25937,20210718:0900,0,-,0.6,0,24,D
26163,20210718:0900,1.2,-,0,0.9,24,D
3925,20210718:0900,48.4,-,0,48.1,24,D
40986,20210718:0900,0.2,-,36.2,0,24,D
5033,20210718:0900,1.1,-,-,-,24,D
5142,20210718:0900,1,-,17.6,0,24,D
5302,20210718:0900,8,-,0,3.9,24,D
5323,20210718:0900,0,-,0.3,0,24,D
5335,20210718:0900,1.1,-,0,0.7,24,D
5354,20210718:0900,1.2,-,0,0.6,24,D
5361,20210718:0900,3.6,-,0,3.1,24,D
5396,20210718:0900,1.5,-,0,1,24,D
5535,20210718:0900,0.8,-,43.9,0,24,D
