Name,Agent Number,Network Number,Latitude (dec.deg),Longitude (dec.deg),Height (m),Posn_Precision,Observing Authority
Dunedin (Musselburgh Ews),15752,I50954,-45.90129,170.5147,4,H,Niwa
Middlemarch Ews,18437,I50513,-45.51814,170.13561,213,H,Niwa
Ranfurly Ews,18593,I50115,-45.12427,170.10045,450,H,Niwa
Windsor Ews,18594,I50087,-45.00829,170.82281,81,H,Niwa
Green Island (Kaikorai Estuary),22692,I5094A,-45.915,170.407,27,T,N/A
Oamaru Aws,25937,I50194,-45.10148,170.95052,40,H,N/A
Balclutha (Telford Ews),26163,I69276,-46.29282,169.7315,11,H,Niwa
Reefton Ews,3925,F21182,-42.116,171.86,198,G,Niwa / West Coast Rural Fire Dis
Oamaru Ews,40986,I51003,-45.057,171.023,20,G,Niwa
Balclutha (Finegand Ews),45319,I69277,-46.273,169.739,6,H,Niwa
Melford Hills,5033,H40771,-44.759,170.773,441,G,N/A
Oamaru Airport Aws,5142,I41902,-44.97212,171.08108,30,H,Metservice
Islay Downs,5302,I50241,-45.249,170.459,360,G,N/A
Palmerston,5323,I50471,-45.47554,170.71444,21,H,N/A
Lee Flat,5335,I50701,-45.783,170.027,354,G,N/A
Long Beach,5354,I50765,-45.755,170.638,10,T,N/A
Mosgiel Town,5361,I50832,-45.873,170.33,8,G,N/A
Maungatua,5396,I50912,-45.91,170.149,25,G,N/A
Lauder Ews,5535,I59065,-45.0401,169.68419,375,H,Niwa
Glenledi Rd,5703,I60102,-46.175,170.083,61,G,N/A
Balclutha,5866,I69272,-46.238,169.749,12,G,N/A
Inchclutha (T'Graph Rd),5886,I69382,-46.302,169.824,8,G,N/A
Nugget Point Aws,5893,I69482,-46.44767,169.81215,131,H,Metservice
Dunedin Aero Aws,7339,I50922,-45.92675,170.19684,2,H,Metservice
"Note: Position precision types are: ""W"" = based on whole minutes"," ""T"" = estimated to tenth minute",,,,,,
G = derived from gridref ," ""E"" = error cases derived from gridref",,,,,,
18594,20210708:0900,0.2,-,42.3,0,24,D
22692,20210708:0900,1.5,-,0,0.9,24,D
25937,20210708:0900,0,-,0.6,0,24,D
26163,20210708:0900,1.8,-,0,1.5,24,D
3925,20210708:0900,3.6,-,0,3.3,24,D
40986,20210708:0900,0,-,48.5,0,24,D
5033,20210708:0900,0,-,-,-,24,D
5142,20210708:0900,0,-,29.3,0,24,D
5302,20210708:0900,0,-,0.4,0,24,D
5323,20210708:0900,0.4,-,0,0.1,24,D
5335,20210708:0900,3.9,-,0,3.5,24,D
5354,20210708:0900,1.7,-,0,1.1,24,D
5361,20210708:0900,1.5,-,0,1,24,D
5396,20210708:0900,2.5,-,0,2,24,D
5535,20210708:0900,0,-,51.3,0,24,D
5703,20210708:0900,0,-,0.5,0,24,D
5866,20210708:0900,1.7,-,0,1.4,24,D
5886,20210708:0900,0,-,0.3,0,24,D
5893,20210708:0900,3.6,-,0,3.3,24,D
7339,20210708:0900,1,-,0,0.5,24,D
15752,20210709:0900,0,-,26.2,0,24,D
18437,20210709:0900,0,-,42.3,0,24,D
18593,20210709:0900,0,-,59,0,24,D
18594,20210709:0900,0,-,43,0,24,D
22692,20210709:0900,0.9,-,0,0.3,24,D
25937,20210709:0900,0,-,1.1,0,24,D
26163,20210709:0900,2.8,-,0,2.5,24,D
3925,20210709:0900,2.8,-,0,2.5,24,D
40986,20210709:0900,0,-,49.1,0,24,D
5033,20210709:0900,0,-,-,-,24,D
5142,20210709:0900,0,-,29.9,0,24,D
5302,20210709:0900,0,-,0.7,0,24,D
5323,20210709:0900,0,-,0.3,0,24,D
5335,20210709:0900,2.6,-,0,2.2,24,D
5354,20210709:0900,1.2,-,0,0.6,24,D
5361,20210709:0900,1.1,-,0,0.6,24,D
5396,20210709:0900,1.5,-,0,1,24,D
5535,20210709:0900,0,-,51.7,0,24,D
5703,20210709:0900,0,-,1,0,24,D
5866,20210709:0900,1.9,-,0,1.6,24,D
5886,20210709:0900,2.1,-,0,1.4,24,D
5893,20210709:0900,1.6,-,0,1.3,24,D
7339,20210709:0900,1,-,0,0.5,24,D
15752,20210710:0900,0.8,-,26,0,24,D
18437,20210710:0900,0,-,42.7,0,24,D
18593,20210710:0900,0,-,59.4,0,24,D
18594,20210710:0900,0,-,43.6,0,24,D
22692,20210710:0900,1,-,0,0.4,24,D
25937,20210710:0900,0,-,1.7,0,24,D
26163,20210710:0900,6.6,-,0,6.3,24,D
3925,20210710:0900,6.4,-,0,6.1,24,D
40986,20210710:0900,0,-,49.7,0,24,D
5033,20210710:0900,0,-,-,-,24,D
5142,20210710:0900,0,-,30.5,0,24,D
5302,20210710:0900,0,-,1.1,0,24,D
5323,20210710:0900,0,-,0.6,0,24,D
5335,20210710:0900,4.5,-,0,4.1,24,D
5354,20210710:0900,2.1,-,0,1.5,24,D
5361,20210710:0900,1,-,0,0.5,24,D
5396,20210710:0900,2.8,-,0,2.3,24,D
5535,20210710:0900,0,-,52.2,0,24,D
5703,20210710:0900,10.5,-,0,9,24,D
5886,20210710:0900,7.7,-,0,7.4,24,D
5893,20210710:0900,8.8,-,0,8.5,24,D
7339,20210710:0900,1.4,-,0,0.9,24,D
15752,20210711:0900,1.2,-,25.4,0,24,D
18437,20210711:0900,0,-,43.1,0,24,D
18593,20210711:0900,0,-,59.8,0,24,D
18594,20210711:0900,0,-,44.2,0,24,D
22692,20210711:0900,0.5,-,0.1,0,24,D
25937,20210711:0900,0,-,2.3,0,24,D
26163,20210711:0900,0.6,-,0,0.3,24,D
3925,20210711:0900,0.2,-,0.1,0,24,D
40986,20210711:0900,0,-,50.3,0,24,D
5033,20210711:0900,0,-,-,-,24,D
5142,20210711:0900,0,-,31.1,0,24,D
5302,20210711:0900,0,-,1.5,0,24,D
5323,20210711:0900,0,-,0.8,0,24,D
5335,20210711:0900,2,-,0,1.6,24,D
5354,20210711:0900,0.4,-,0.2,0,24,D
5361,20210711:0900,0.3,-,0.2,0,24,D
5396,20210711:0900,0.4,-,0.1,0,24,D
5535,20210711:0900,0,-,52.6,0,24,D
5703,20210711:0900,0,-,0.5,0,24,D
5886,20210711:0900,2.3,-,0,2,24,D
5893,20210711:0900,2,-,0,1.7,24,D
7339,20210711:0900,0.4,-,0.1,0,24,D
15752,20210712:0900,0,-,26,0,24,D
18437,20210712:0900,0,-,43.5,0,24,D
18593,20210712:0900,0,-,60.2,0,24,D
18594,20210712:0900,0,-,44.8,0,24,D
22692,20210712:0900,0,-,0.7,0,24,D
25937,20210712:0900,0,-,2.9,0,24,D
26163,20210712:0900,0,-,0.3,0,24,D
3925,20210712:0900,0,-,0.3,0,24,D
40986,20210712:0900,0,-,50.9,0,24,D
5033,20210712:0900,0,-,-,-,24,D
5142,20210712:0900,0,-,31.7,0,24,D
5302,20210712:0900,0,-,1.9,0,24,D
5323,20210712:0900,0,-,1.1,0,24,D
5335,20210712:0900,0,-,0.4,0,24,D
5354,20210712:0900,0.1,-,0.7,0,24,D
5361,20210712:0900,0,-,0.7,0,24,D
5396,20210712:0900,0,-,0.6,0,24,D
5535,20210712:0900,0,-,53,0,24,D
5703,20210712:0900,0,-,1,0,24,D
5866,20210712:0900,6.6,-,0,1.9,72,D
5886,20210712:0900,0,-,0.3,0,24,D
5893,20210712:0900,0.2,-,0.1,0,24,D
7339,20210712:0900,0,-,0.6,0,24,D
15752,20210713:0900,0,-,26.6,0,24,D
18437,20210713:0900,0,-,43.9,0,24,D
18593,20210713:0900,0,-,60.5,0,24,D
18594,20210713:0900,0,-,45.5,0,24,D
22692,20210713:0900,0,-,1.3,0,24,D
25937,20210713:0900,0,-,3.4,0,24,D
26163,20210713:0900,0.2,-,0.5,0,24,D
3925,20210713:0900,0,-,0.6,0,24,D
40986,20210713:0900,0,-,51.5,0,24,D
5033,20210713:0900,0,-,-,-,24,D
5142,20210713:0900,0,-,32.3,0,24,D
5302,20210713:0900,0,-,2.2,0,24,D
5323,20210713:0900,0,-,1.4,0,24,D
5335,20210713:0900,0,-,0.8,0,24,D
5354,20210713:0900,0,-,1.3,0,24,D
5361,20210713:0900,0,-,1.2,0,24,D
5396,20210713:0900,0,-,1.1,0,24,D
5535,20210713:0900,0,-,53.5,0,24,D
5703,20210713:0900,0.5,-,1,0,24,D
5866,20210713:0900,0.2,-,0.1,0,24,D
5886,20210713:0900,0,-,0.7,0,24,D
5893,20210713:0900,0,-,0.5,0,24,D
7339,20210713:0900,0,-,1.1,0,24,D
15752,20210714:0900,0,-,27.2,0,24,D
18437,20210714:0900,0,-,44.3,0,24,D
